Incident Datetime,Week of Year,Number of Weeks Into Pilot,Site,Shuttle - NCDOT,Route - NCDOT,Location,Weather,Vehicle Speed,Initiated by,Cause,Obstacle Detection,Signal Loss,Fault/Error Code,Signalized Intersection,Safety In/Out,Deviation from Path,Station Blocked,Priority Zone,Other Road Users,Vulnerable Road Users,Vegetation,Weather2,Additional Information
2023-05-19T07:12:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7826646, -78.8218121",Rain;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T07:21:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7847179, -78.8244813",Rain;,4.0,Operator,Obstacle Detection,,,,,,,,,,,,,An object was detected within the path and prevented autonomous operation. Shuttle attendant navigated around obstacle in manual mode and returned to autonomous mode.
2023-05-19T08:00:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7832937, -78.8239609",Cloudy;Partly Cloudy;Rain;,5.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T08:05:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7833479, -78.8230466",Cloudy;Partly Cloudy;Rain;,5.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T08:08:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7835064, -78.8220636",Cloudy;Partly Cloudy;Rain;,5.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T08:14:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7831752, -78.8216465",Cloudy;Partly Cloudy;Rain;,5.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T08:27:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7826728, -78.8217538",Cloudy;Partly Cloudy;Rain;,5.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T08:29:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7828284, -78.8216948",Cloudy;Partly Cloudy;Rain;,5.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T08:35:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7834697, -78.822016",Cloudy;Partly Cloudy;Rain;,5.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T08:52:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7842496, -78.8262195",Cloudy;Partly Cloudy;Rain;,5.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T10:01:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7836117, -78.8245795",Rain;Cloudy;Partly Cloudy;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T10:10:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7832627, -78.8234969",Rain;Cloudy;Partly Cloudy;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T10:13:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.783492, -78.8220887",Rain;Cloudy;Partly Cloudy;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T10:20:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7831178, -78.8216354",Rain;Cloudy;Partly Cloudy;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T10:35:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7817733, -78.8225665",Rain;Cloudy;Partly Cloudy;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T10:39:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7819319, -78.8233886",Rain;Cloudy;Partly Cloudy;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T10:41:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7819708, -78.8228699",Rain;Cloudy;Partly Cloudy;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T10:55:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.7827898, -78.8218021",Rain;Cloudy;Partly Cloudy;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-19T10:58:00-04:00,20,11,NCDOT,P88,Cary Bond Park,"35.78347, -78.8219922",Rain;Cloudy;Partly Cloudy;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-22T10:25:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.783455, -78.8216214",Sunny;Partly Cloudy;,4.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-22T11:50:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.783455, -78.8216214",Partly Cloudy;Sunny;,3.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-23T06:30:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.7834482, -78.821673",Sunny;Partly Cloudy;,3.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-23T07:10:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.7814222, -78.8249942",Sunny;,4.0,Operator,Other Road Users,,,,,,,,,,,,,
2023-05-23T07:45:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.7847459, -78.8245111",Sunny;,4.0,Operator,Station Blocked,,,,,,,,,,,,,
2023-05-23T11:42:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.7847304, -78.8244982",Sunny;,3.0,Operator,Obstacle Detection,,,,,,,,,,,,,An object was detected within the path and prevented autonomous operation. Shuttle attendant navigated around obstacle in manual mode and returned to autonomous mode.
2023-05-24T06:40:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.7813494, -78.8256675",Sunny;,3.0,Operator,Station Blocked,,,,,,,,,,,,,"Station was blocked, preventing autonomous operation into/out of the designated stop station. Shuttle attendant navigated in manual mode to stop, then resumed in autonomous mode."
2023-05-24T06:50:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.7847543, -78.8245084",Sunny;,4.0,Operator,Obstacle Detection,,,,,,,,,,,,,An object was detected within the path and prevented autonomous operation. Shuttle attendant navigated around obstacle in manual mode and returned to autonomous mode.
2023-05-24T07:18:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.7847543, -78.8245084",Sunny;,4.0,Operator,Obstacle Detection,,,,,,,,,,,,,An object was detected within the path and prevented autonomous operation. Shuttle attendant navigated around obstacle in manual mode and returned to autonomous mode.
2023-05-24T11:15:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.7834695, -78.8216586",Sunny;,3.0,Operator,Signal Loss,,,,,,,,,,,,,Shuttle lost signal 3G/GNSS/RTK and was unable to continue in autonomous. Shuttle attendant navigated in manual mode until signal strengthened then resumed autonomous mode
2023-05-26T07:30:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.7841238, -78.8249416",Sunny;Windy;,3.0,Operator,Other Road Users,,,,,,,,,,,,,
2023-05-26T07:35:00-04:00,21,12,NCDOT,P88,Cary Bond Park,"35.7847706, -78.8245051",Sunny;Windy;,3.0,Operator,Obstacle Detection,,,,,,,,,,,,,An object was detected within the path and prevented autonomous operation. Shuttle attendant navigated around obstacle in manual mode and returned to autonomous mode.
2023-05-30T06:11:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.7818897, -78.8228756",Partly Cloudy;,3.0,Operator,Other Road Users,,,,,,,,,,,,,
2023-05-31T07:21:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.784126, -78.826194",Sunny;,3.0,Operator,Fault Code/Error Code,,,,,,,,,,,,,
2023-05-31T08:05:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.784748, -78.824499",Sunny;,3.0,Operator,Vegetation,,,,,,,,,,,,,
2023-05-31T08:30:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.783451, -78.821651",Sunny;,5.0,Operator,Signal Loss,,,,,,,,,,,,,
2023-05-31T08:55:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.781928, -78.823571",Sunny;,4.0,Operator,Station Blocked,,,,,,,,,,,,,
2023-05-31T11:25:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.783451, -78.821651",Sunny;,4.0,Operator,Signal Loss,,,,,,,,,,,,,
2023-06-01T07:44:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.784753, -78.824509",Sunny;,3.0,Operator,Vegetation,,,,,,,,,,,,,
2023-06-01T07:46:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.781928, -78.823571",Sunny;,3.0,Operator,Fault Code/Error Code,,,,,,,,,,,,,
2023-06-01T09:10:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.783456, -78.821639",Sunny;,5.0,Operator,Signal Loss,,,,,,,,,,,,,
2023-06-01T10:00:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.781928, -78.823571",Sunny;,3.0,Operator,Fault Code/Error Code,,,,,,,,,,,,,
2023-06-01T11:12:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.781928, -78.823571",Sunny;,4.0,Operator,Station Blocked,,,,,,,,,,,,,
2023-06-01T11:45:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.7847752, -78.8244866",Sunny;,3.0,Operator,Obstacle Detection,,,,,,,,,,,,,
2023-06-01T12:00:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.783456, -78.821639",Sunny;,5.0,Operator,Signal Loss,,,,,,,,,,,,,
2023-06-02T06:32:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.7819145, -78.8235603",Sunny;,4.0,Operator,Station Blocked,,,,,,,,,,,,,
2023-06-02T06:35:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.7813188, -78.8256601",Sunny;,3.0,Operator,Station Blocked,,,,,,,,,,,,,
2023-06-02T06:44:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.7847325, -78.824496",Sunny;,4.0,Operator,Obstacle Detection,,,,,,,,,,,,,
2023-06-02T07:01:00-04:00,22,13,NCDOT,P88,Cary Bond Park,"35.7841086, -78.8261962",Sunny;,3.0,Operator,Fault Code/Error Code,,,,,,,,,,,,,V2X/RSU
